Субъект РФ;Оборот за 2021
Белгородская область;398 209,0
Брянская область;302 959,5
Владимирская область;276 799,4
Воронежская область;681 334,3
Ивановская область;207 733,2
Калужская область;237 322,4
Костромская область;135 775,2
Курская область;260 445,3
Липецкая область;305 829,8
Московская область;3 267 358,9
Орловская область;160 518,3
Рязанская область;246 166,5
Смоленская область;193 370,9
Тамбовская область;220 208,2
Тверская область;289 394,1
Тульская область;346 432,8
Ярославская область;305 775,1
г.Москва;6 038 796,7
Республика Карелия;152 913,8
Республика Коми;179 383,3
Архангельская область;311 869,1
Вологодская область;238 252,0
Калининградская область;224 005,9
Ленинградская область;567 662,2
Мурманская область;191 400,8
Новгородская область;136 978,9
Псковская область;144 846,2
г Санкт-Петербург;1 924 567,3
Республика Адыгея;139 651,5
Республика Калмыкия;26 232,6
Республика Крым;334 305,8
Краснодарский край;1 908 464,3
Астраханская область;194 841,4
Волгоградская область;478 130,2
Ростовская область;1 157 939,3
г.Севастополь;96 897,0
 Республика Дагестан;657 564,5
 Республика Ингушетия;30 240,5
Кабардино-Балкарская Республика;188 981,0
Карачаево-Черкесская Республика;44 185,7
Республика Северная Осетия Алания;133 488,0
Чеченская Республика;212 966,4
Ставропольский край;601 330,5
Республика Башкортостан;1 015 846,5
Республика  Марий Эл;108 490,4
Республика  Мордовия;116 697,7
Республика Татарстан;1 086 401,2
Удмуртская Республика;265 557,4
Чувашская  Республика;199 903,7
Пермский край;615 914,7
Кировская область;236 122,5
Нижегородская область;880 674,1
Оренбургская область;383 838,0
Пензенская область;255 559,9
Самарская область;757 582,5
Саратовская область;449 078,0
Ульяновская область;224 818,5
Курганская область;133 013,2
Свердловская область;1 227 763,2
Тюменская область;1 113 530,4
Челябинская область;684 752,2
Республика Алтай;36 390,5
Республика Тыва;29 661,5
Республика Хакасия;103 162,8
Алтайский край;397 846,0
Красноярский край;636 026,7
Иркутская область;473 295,1
Кемеровская область - Кузбасс;460 981,7
Новосибирская область;671 856,5
Омская область;400 794,1
Томская область;209 897,4
Республика Бурятия;219 448,7
Республика Саха (Якутия);280 354,7
Забайкальский край;197 766,6
Камчатский край;74 835,7
Приморский край;509 007,7
Хабаровский край;391 443,8
Амурская область;214 996,6
Магаданская область;40 021,5
Сахалинская область;176 676,0
Еврейская авт.область;29 247,4
Чукотский авт.округ;11 234,8
