ID;2021;2024
1;398 209,0;509 302,6
2;302 959,5;377 528,1
3;276 799,4;389 243,4
4;681 334,3;914 929,9
5;207 733,2;287 666,4
6;237 322,4;312 671,4
7;135 775,2;187 156,5
8;260 445,3;349 390,5
9;305 829,8;410 552,8
10;3 267 358,9;4 470 506,2
11;160 518,3;213 845,4
12;246 166,5;351 117,8
13;193 370,9;261 633,2
14;220 208,2;290 231,2
15;289 394,1;419 058,0
16;346 432,8;527 310,4
17;305 775,1;416 368,9
18;6 038 796,7;7 506 355,4
19;152 913,8;199 615,0
20;179 383,3;239 715,3
21;311 869,1;389 116,2
22;238 252,0;313 728,7
23;224 005,9;345 820,3
24;567 662,2;838 754,8
25;191 400,8;260 038,0
26;136 978,9;186 906,6
27;144 846,2;200 440,1
28;1 924 567,3;2 908 026,0
29;139 651,5;216 449,7
30;26 232,6;72 493,3
31;334 305,8;471 841,5
32;1 908 464,3;2 812 869,6
33;194 841,4;249 294,4
34;478 130,2;711 991,0
35;1 157 939,3;1 802 077,2
36;96 897,0;114 425,5
37;657 564,5;924 621,3
38;30 240,5;60 663,9
39;188 981,0;325 556,7
40;44 185,7;66 906,3
41;133 488,0;193 930,6
42;212 966,4;323 659,0
43;601 330,5;883 970,8
44;1 015 846,5;1 538 312,3
45;108 490,4;162 348,6
46;116 697,7;217 826,2
47;1 086 401,2;1 622 149,9
48;265 557,4;403 261,1
49;199 903,7;299 178,6
50;615 914,7;822 437,6
51;236 122,5;320 096,6
52;880 674,1;1 266 806,7
53;383 838,0;532 776,5
54;255 559,9;361 298,1
55;757 582,5;1 176 807,0
56;449 078,0;648 536,0
57;224 818,5;304 914,2
58;133 013,2;191 534,5
59;1 227 763,2;1 629 009,4
60;1 113 530,4;1 536 230,8
61;684 752,2;1 165 869,1
62;36 390,5;55 776,1
63;29 661,5;56 269,7
64;103 162,8;152 094,5
65;397 846,0;588 491,1
66;636 026,7;908 970,2
67;473 295,1;770 873,7
68;460 981,7;700 779,4
69;671 856,5;1 072 149,9
70;400 794,1;548 203,7
71;209 897,4;331 667,8
72;219 448,7;313 589,0
73;280 354,7;403 658,0
74;197 766,6;273 248,2
75;74 835,7;121 376,0
76;509 007,7;759 738,4
77;391 443,8;553 628,3
78;214 996,6;214 996,6
79;40 021,5;40 021,5
80;176 676,0;176 676,0
81;29 247,4;29 247,4
82;11 234,8;11 234,8
